workspace,trial_name,agent_name,model,total_milestones,total_turns,total_cost_usd,total_duration_ms,total_wall_clock_ms,total_tool_calls,total_subagent_calls,unique_session_count,total_input_tokens,total_output_tokens,total_cache_read_tokens,resolved,resolve_rate,failed,error,not_run,tool_read,tool_edit,tool_write,tool_shell,tool_search,tool_plan,tool_subagent,tool_other,mean_score_full,mean_score_reliable,mean_score_precision,mean_score_recall,sum_score_full
dubbo,_openhands_opus-4.6_run_002,openhands,claude-opus-4-6,12,1550,56.36484625000001,10664551,10472187,1500,0,1,59445452,437896,0,2,0.16666666666666666,10,0,0,0,0,0,0,0,0,0,1500,0.49995172907341373,0.4547008547008547,0.4361334292946917,0.5,5.999420748880965
dubbo,_openhands_gpt-5.3-codex_run_002,openhands,gpt-5.3-codex,12,699,22.49045539999999,78079589,8581436,14667,0,1,40711684,316116,0,1,0.08333333333333333,1,0,10,0,0,0,0,0,0,0,14667,0.08333333333333333,0.08333333333333333,0.08536585365853659,0.08333333333333333,1.0
dubbo,_openhands_gemini-3-flash_run_002,openhands,gemini-3-flash,12,602,5.4522318000000025,11519234,11581769,1079,0,1,37987626,336115,0,1,0.08333333333333333,10,1,0,0,0,0,0,0,0,0,1079,0.5129511738858018,0.434161699732509,0.43744983690511524,0.5131578947368421,6.155414086629621
dubbo,_openhands_kimi-k2.5_run_002,openhands,kimi-k2.5,12,1029,5.194716116000002,19807402,63821082,1955,0,1,33412099,343089,0,2,0.16666666666666666,9,1,0,0,0,0,0,0,0,0,1955,0.5567327930201486,0.43934344946653114,0.4506995962107602,0.5745614035087719,6.680793516241783
dubbo,_openhands_minimax-m2.5_run_002,openhands,minimax-m2.5,12,2867,5.75205624,48389242,271386327,4136,0,1,90015955,955091,0,0,0.0,12,0,0,0,0,0,0,0,0,0,4136,0.6817134514537919,0.2909733606923632,0.20584202561876488,0.6831140350877193,8.180561417445503
ripgrep,_openhands_opus-4.6_run_002,openhands,claude-opus-4-6,11,1117,41.63104324999999,11552431,36447834,1513,0,3,42207171,340988,0,2,0.18181818181818182,7,2,0,0,0,0,0,0,0,0,1513,0.5971854604476778,0.5280754856029899,0.6586481700118064,0.5982683982683983,6.569040064924456
ripgrep,_openhands_gpt-5.3-codex_run_002,openhands,gpt-5.3-codex,11,739,22.282477350000004,30575575,51214717,5698,0,1,44716233,448137,0,5,0.45454545454545453,4,2,0,0,0,0,0,0,0,0,5698,0.7802747886835898,0.707444523979957,0.6944444444444445,0.7808441558441559,8.583022675519487
ripgrep,_openhands_gemini-3-flash_run_002,openhands,gemini-3-flash,11,6802,41.92054369999999,64604004,188640822,8656,0,3,246847753,4037499,0,1,0.09090909090909091,6,2,2,0,0,0,0,0,0,0,8656,0.43941937789424673,0.32085699044946697,0.366508989415688,0.4415584415584416,4.833613156836714
ripgrep,_openhands_kimi-k2.5_run_002,openhands,kimi-k2.5,11,1427,7.582711455999998,26184963,256205931,2962,0,1,50687936,547569,0,3,0.2727272727272727,8,0,0,0,0,0,0,0,0,0,2962,0.3246753246753247,0.3388429752066116,0.5750000000000001,0.3246753246753247,3.571428571428571
ripgrep,_openhands_minimax-m2.5_run_002,openhands,minimax-m2.5,11,1102,1.9490976899999983,36637942,109322076,3084,0,1,30298050,396366,0,1,0.09090909090909091,9,1,0,0,0,0,0,0,0,0,3084,0.4113657896161502,0.3220525088946142,0.6468531468531468,0.41248196248196245,4.5250236857776525
element-web,_openhands_opus-4.6_run_002,openhands,claude-opus-4-6,18,0,0.0,36293897,80421416,4769,0,2,0,0,0,1,0.05555555555555555,13,0,4,0,0,0,0,0,0,0,4769,0.5385951515991864,0.4135230917719619,0.3804302722138081,0.5403682418050235,9.694712728785355
element-web,_openhands_gpt-5.3-codex_run_002,openhands,gpt-5.3-codex,18,0,0.0,64952622,1808279,10170,0,1,0,0,0,1,0.05555555555555555,2,0,15,0,0,0,0,0,0,0,10170,0.13149989736500314,0.10110540860639558,0.08854400959664116,0.13194444444444445,2.3669981525700567
element-web,_openhands_gemini-3-flash_run_002,openhands,gemini-3-flash,18,1117,8.621206450000006,15016936,86073818,1961,0,3,50023808,572193,0,1,0.05555555555555555,15,2,0,0,0,0,0,0,0,0,1961,0.2759570499139373,0.1483372328612786,0.15539091903654917,0.30097017180350516,4.967226898450872
element-web,_openhands_kimi-k2.5_run_002,openhands,kimi-k2.5,18,705,3.287272122,15274245,29259774,1454,0,3,22088017,209897,0,0,0.0,16,2,0,0,0,0,0,0,0,0,1454,0.28075010076646356,0.0876593812271112,0.15073820203520416,0.28739693948027273,5.053501813796344
